zip_code,latitude,longitude
06001,41.787159, -72.852046
06002,41.844930, -72.740951
06010,41.681578, -72.940749
06013,41.749079, -72.948657
06016,41.901899, -72.547432
06018,42.024629, -73.309616
06019,41.857508, -72.902765
06020,41.834618, -72.928722
06021,42.017229, -73.104821
06022,41.865433, -72.927326
06023,41.612590, -72.720095
06024,42.012137, -73.274264
06026,41.929719, -72.745378
06027,42.004930, -72.915699
06029,41.914149, -72.445568
06031,41.955257, -73.316785
06032,41.731051, -72.857096
06033,41.707463, -72.538932
06035,41.960682, -72.803846
06037,41.605477, -72.778459
06039,41.952698, -73.458626
06040,41.761415, -72.525608
06042,41.802752, -72.521008
06043,41.764589, -72.437575
06051,41.665141, -72.769832
06052,41.655568, -72.803107
06053,41.688039, -72.793469
06057,41.841053, -72.998664
06058,41.969922, -73.178473
06059,41.957029, -72.942485
06060,42.009151, -72.847465
06061,41.875600, -72.966840
06062,41.673639, -72.859729
06063,41.925197, -72.971286
06065,41.974651, -73.007676
06066,41.837561, -72.459040
06067,41.656624, -72.661779
06068,42.007238, -73.422228
06069,41.860763, -73.449215
06070,41.875857, -72.809376
06071,41.992633, -72.453725
06073,41.664442, -72.555040
06074,41.838090, -72.577836
06076,41.984442, -72.263453
06078,41.991611, -72.651744
06081,41.905187, -72.772551
06082,41.983993, -72.555553
06084,41.883019, -72.358869
06085,41.748955, -72.889415
06088,41.917911, -72.583371
06089,41.833424, -72.824618
06090,41.946484, -72.863185
06091,42.026504, -72.980213
06092,41.873452, -72.860524
06093,42.013232, -72.717370
06095,41.871037, -72.675082
06096,41.927630, -72.659703
06098,41.956189, -73.086364
06103,41.767208, -72.674257
06105,41.774705, -72.705037
06106,41.748587, -72.696006
06107,41.752304, -72.758098
06108,41.780375, -72.623945
06109,41.702484, -72.669301
06110,41.732683, -72.733603
06111,41.686993, -72.730839
06112,41.793336, -72.695823
06114,41.740854, -72.670695
06117,41.785160, -72.763564
06118,41.748702, -72.609686
06119,41.763421, -72.727208
06120,41.790263, -72.664259
06160,41.766607, -72.691149
06226,41.708238, -72.208549
06231,41.632864, -72.367321
06232,41.732982, -72.374658
06234,41.793886, -71.953265
06235,41.790890, -72.129540
06237,41.693707, -72.305671
06238,41.780138, -72.343943
06239,41.794040, -71.854535
06241,41.853901, -71.847371
06242,41.895596, -72.093305
06243,41.844870, -71.805029
06247,41.767801, -72.075026
06248,41.688585, -72.408671
06249,41.632955, -72.240090
06250,41.772955, -72.198446
06254,41.621212, -72.142609
06255,41.991087, -71.901952
06256,41.732152, -72.157361
06259,41.871502, -71.987646
06260,41.908027, -71.870452
06262,42.019311, -71.948384
06263,41.835236, -71.899848
06264,41.694210, -72.100366
06266,41.673661, -72.172813
