,zip_code,latitude,longitude,zip_code_str,county
0,7001,40.582316,-74.271506,07001,16
1,7002,40.662338,-74.110275,07002,2
2,7003,40.809128,-74.187155,07003,2
3,7004,40.882508,-74.304593,07004,19
4,7005,40.932771,-74.417304,07005,19
5,7006,40.851187,-74.282865,07006,19
6,7008,40.58379,-74.227457,07008,16
7,7009,40.858017,-74.229784,07009,2
8,7010,40.822081,-73.987834,07010,15
9,7011,40.878256,-74.144073,07011,3
10,7012,40.848398,-74.160266,07012,2
11,7013,40.869405,-74.173062,07013,3
12,7014,40.831339,-74.135419,07014,2
13,7016,40.656391,-74.30483,07016,16
14,7017,40.772072,-74.207103,07017,2
15,7018,40.755897,-74.217961,07018,2
16,7020,40.823877,-73.974152,07020,15
17,7021,40.828127,-74.276197,07021,2
18,7022,40.821054,-74.003061,07022,15
19,7023,40.6417,-74.385676,07023,16
20,7024,40.85064,-73.971007,07024,15
21,7026,40.879797,-74.10825,07026,15
22,7027,40.651249,-74.323137,07027,16
23,7028,40.804798,-74.204569,07028,2
24,7029,40.743595,-74.154913,07029,2
25,7030,40.745268,-74.032021,07030,15
26,7031,40.786256,-74.12622,07031,2
27,7032,40.752323,-74.12309,07032,2
28,7033,40.67742,-74.289341,07033,2
29,7034,40.87948,-74.380104,07034,19
30,7035,40.927501,-74.308334,07035,19
31,7036,40.62523,-74.237823,07036,16
32,7039,40.785828,-74.3291,07039,19
33,7040,40.730785,-74.268919,07040,2
34,7041,40.722448,-74.301546,07041,2
35,7042,40.813487,-74.219011,07042,2
36,7043,40.844837,-74.200502,07043,2
37,7044,40.834007,-74.242877,07044,2
38,7045,40.909405,-74.363571,07045,19
39,7046,40.889726,-74.440329,07046,19
40,7047,40.794175,-74.02496,07047,15
41,7050,40.76804,-74.235692,07050,2
42,7052,40.785753,-74.265059,07052,2
43,7054,40.853739,-74.401636,07054,19
44,7055,40.856413,-74.12694,07055,15
45,7057,40.853084,-74.106323,07057,15
46,7058,40.872514,-74.341776,07058,19
47,7059,40.634588,-74.519044,07059,18
48,7060,40.616667,-74.422042,07060,16
49,7062,40.632358,-74.401184,07062,16
50,7063,40.605118,-74.444522,07063,16
51,7064,40.57331,-74.24564,07064,16
52,7065,40.607152,-74.280531,07065,16
53,7066,40.62062,-74.315442,07066,16
54,7067,40.589252,-74.31131,07067,16
55,7068,40.821737,-74.310147,07068,19
56,7069,40.642845,-74.436233,07069,16
57,7070,40.820314,-74.106041,07070,15
58,7071,40.798004,-74.11325,07071,2
59,7072,40.826424,-74.062338,07072,15
60,7073,40.817097,-74.085024,07073,15
61,7074,40.838127,-74.055268,07074,15
62,7075,40.850183,-74.087068,07075,15
63,7076,40.633026,-74.372905,07076,16
64,7077,40.554147,-74.25306,07077,16
65,7078,40.742346,-74.334237,07078,2
66,7079,40.748811,-74.261512,07079,2
67,7080,40.574413,-74.4148,07080,16
68,7081,40.697892,-74.334537,07081,16
69,7082,40.926913,-74.342511,07082,19
70,7083,40.695266,-74.269078,07083,2
71,7086,40.767855,-74.020637,07086,15
72,7087,40.767383,-74.032328,07087,15
73,7088,40.717934,-74.286158,07088,2
74,7090,40.651644,-74.343447,07090,16
75,7092,40.680722,-74.360292,07092,16
76,7093,40.788079,-74.011357,07093,15
77,7094,40.781958,-74.067649,07094,15
78,7095,40.552844,-74.286949,07095,16
79,7102,40.735659,-74.173605,07102,2
