,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price
2,3.0,2.0,0.14,7001.0,1542.0,2022-01-27,305100.0
12,3.0,2.0,0.17,7001.0,7501.0,2021-11-01,340000.0
13,5.0,2.0,0.18,7001.0,1387.0,2020-12-22,484000.0
16,4.0,4.0,0.06,7001.0,2296.0,2017-04-21,525000.0
21,3.0,1.0,0.17,7001.0,1008.0,2022-02-08,325000.0
24,5.0,4.0,0.34,7001.0,3182.0,2021-01-11,799900.0
35,4.0,2.0,0.17,7001.0,1950.0,2017-08-10,524999.0
42,4.0,4.0,0.1,7001.0,1620.0,2022-02-25,460000.0
56,3.0,3.0,0.06,7002.0,1315.0,2016-05-17,495000.0
98,5.0,3.0,0.13,7003.0,2371.0,2018-06-12,749000.0
102,3.0,3.0,0.09,7003.0,1232.0,2018-10-03,385000.0
115,3.0,3.0,0.55,7004.0,2728.0,2018-07-25,764900.0
131,5.0,4.0,1.38,7005.0,6000.0,2016-09-01,899000.0
161,4.0,3.0,0.28,7005.0,2650.0,2020-04-28,678000.0
169,4.0,3.0,0.21,7005.0,2086.0,2020-11-09,595000.0
174,3.0,2.0,0.19,7001.0,1552.0,2021-08-02,335000.0
183,5.0,3.0,0.05,7002.0,1869.0,2016-08-24,599000.0
194,2.0,3.0,2.24,7003.0,1720.0,2016-08-15,365000.0
201,3.0,2.0,0.08,7003.0,1280.0,2020-10-26,425000.0
206,6.0,4.0,0.11,7003.0,2750.0,2022-02-18,585000.0
216,1.0,1.0,0.01,7003.0,563.0,2016-06-22,176900.0
238,3.0,2.0,0.08,7003.0,1440.0,2018-06-14,424000.0
243,4.0,4.0,0.16,7003.0,1939.0,2020-02-24,650000.0
244,4.0,2.0,0.12,7003.0,2800.0,2021-03-24,675000.0
256,5.0,3.0,0.11,7002.0,2500.0,2016-10-05,728000.0
263,3.0,2.0,0.05,7002.0,1322.0,2021-05-12,479000.0
280,6.0,4.0,0.09,7002.0,1406.0,2021-12-31,599999.0
299,4.0,3.0,0.45,7006.0,2508.0,2021-04-07,829000.0
397,5.0,3.0,0.14,7011.0,1954.0,2020-12-16,599900.0
482,2.0,3.0,0.14,7016.0,1450.0,2019-03-11,499000.0
489,2.0,2.0,0.02,7016.0,1240.0,2017-04-26,389900.0
516,3.0,2.0,0.19,7016.0,1998.0,2018-08-03,625000.0
573,5.0,3.0,0.13,7018.0,1874.0,2021-10-13,395000.0
653,4.0,2.0,0.24,7008.0,1773.0,2018-08-24,424900.0
655,3.0,3.0,0.13,7008.0,1662.0,2020-06-08,529999.0
659,3.0,2.0,0.11,7008.0,1516.0,2021-12-14,475000.0
660,3.0,1.0,0.13,7008.0,1346.0,2021-07-30,379000.0
675,4.0,4.0,0.11,7008.0,2825.0,2021-12-29,719900.0
