zip_code,latitude,longitude
10001,40.750633, -73.997177
10002,40.715775, -73.986212
10003,40.731829, -73.989181
10004,40.688630, -74.018244
10005,40.706027, -74.008835
10006,40.709614, -74.012954
10007,40.713848, -74.007755
10009,40.726399, -73.978631
10010,40.739065, -73.982255
10011,40.742039, -74.000620
10012,40.725581, -73.998078
10013,40.720103, -74.004903
10014,40.734012, -74.006746
10016,40.745224, -73.978297
10017,40.752360, -73.972493
10018,40.755319, -73.993114
10019,40.765823, -73.987169
10020,40.758236, -73.978833
10021,40.769258, -73.958751
10022,40.758628, -73.967948
10023,40.775921, -73.982607
10024,40.798452, -73.974428
10025,40.798601, -73.966622
10026,40.802381, -73.952681
10027,40.811407, -73.953060
10028,40.776441, -73.953509
10029,40.791763, -73.943970
10030,40.818267, -73.942856
10031,40.825288, -73.950045
10032,40.838815, -73.942836
10033,40.850545, -73.933983
10034,40.867076, -73.924312
10035,40.795455, -73.929655
10036,40.759260, -73.989860
10037,40.812957, -73.937376
10038,40.709278, -74.002562
10039,40.830867, -73.936218
10040,40.858305, -73.930549
10044,40.761915, -73.949962
10065,40.764612, -73.963122
10069,40.775906, -73.990358
10075,40.773361, -73.956216
10103,40.760780, -73.977670
10110,40.754499, -73.982256
10111,40.759114, -73.977596
10112,40.759167, -73.979668
10115,40.810852, -73.963744
10119,40.750310, -73.992979
10128,40.781432, -73.950013
10152,40.758404, -73.972031
10153,40.763622, -73.972439
10154,40.757779, -73.972487
10162,40.769300, -73.949915
10165,40.752131, -73.978722
10167,40.754648, -73.974771
10168,40.751448, -73.977103
10169,40.754391, -73.976098
10170,40.752625, -73.975877
10171,40.755899, -73.973858
10172,40.755273, -73.974315
10173,40.754131, -73.979364
10174,40.751441, -73.975003
10177,40.755139, -73.975934
10199,40.751393, -73.997229
10271,40.708205, -74.010504
10278,40.715182, -74.003778
10279,40.712626, -74.008669
10280,40.708538, -74.016650
10282,40.716921, -74.015066
10301,40.627456, -74.094407
10302,40.630688, -74.137776
10303,40.629885, -74.174130
10304,40.609227, -74.092575
10305,40.596691, -74.074866
10306,40.571768, -74.125950
10307,40.509183, -74.237785
10308,40.551884, -74.147646
10309,40.531346, -74.219857
10310,40.632648, -74.116148
10311,40.605241, -74.179503
10312,40.545237, -74.180443
10314,40.599263, -74.165748
10451,40.820479, -73.925084
10452,40.837393, -73.923437
10453,40.852779, -73.912332
10454,40.805489, -73.916585
10455,40.814710, -73.908593
10456,40.829881, -73.908120
10457,40.847150, -73.898680
10458,40.862543, -73.888143
10459,40.825867, -73.892942
10460,40.841758, -73.879571
10461,40.847381, -73.840584
10462,40.843280, -73.860389
10463,40.880678, -73.906540
10464,40.867787, -73.799920
10465,40.822615, -73.822239
10466,40.890964, -73.846239
10467,40.869953, -73.865746
10468,40.868093, -73.899730
10469,40.868607, -73.848133
10470,40.889530, -73.872662
10471,40.898868, -73.903328
10472,40.829556, -73.869336
10473,40.818690, -73.858474
10474,40.810549, -73.884367
10475,40.875169, -73.823817
10501,41.295608, -73.758490
10502,41.011602, -73.841433
10503,41.026556, -73.875310
10504,41.128468, -73.707521
10505,41.342090, -73.745449
10506,41.190395, -73.639144
10507,41.227896, -73.686047
10509,41.410855, -73.594340
10510,41.139472, -73.835704
10511,41.265428, -73.943192
10512,41.457619, -73.724608
10514,41.172153, -73.769196
10516,41.461974, -73.874908
10517,41.298243, -73.861993
10518,41.266143, -73.588296
10519,41.352346, -73.652662
10520,41.226478, -73.867787
10522,41.010310, -73.863746
10523,41.059341, -73.819457
10524,41.375325, -73.926217
10526,41.288102, -73.668835
10527,41.321183, -73.769878
10528,40.975049, -73.724925
10530,41.023712, -73.812810
10532,41.099278, -73.800327
10533,41.036927, -73.854864
10535,41.335169, -73.793919
10536,41.269098, -73.688694
10537,41.339740, -73.882349
10538,40.937752, -73.756473
10541,41.381113, -73.751935
10543,40.952693, -73.736040
10545,41.178591, -73.835450
10546,41.195609, -73.801126
10547,41.313334, -73.846039
10548,41.245696, -73.932977
10549,41.200584, -73.723465
10550,40.905448, -73.835253
10552,40.924460, -73.826115
10553,40.908584, -73.821652
10560,41.340527, -73.597609
10562,41.194480, -73.825254
10566,41.289483, -73.916847
10567,41.289600, -73.897001
10570,41.130067, -73.786670
10573,41.015857, -73.677404
10576,41.221577, -73.572332
10577,41.038367, -73.711114
10578,41.320276, -73.678991
10579,41.395364, -73.839053
10580,40.979049, -73.693202
10583,40.988682, -73.789204
10588,41.336623, -73.820007
10589,41.334143, -73.714634
10590,41.255269, -73.539404
10591,41.090097, -73.841014
10594,41.113425, -73.774292
10595,41.085897, -73.782645
10596,41.256258, -73.959177
10597,41.293021, -73.596568
10598,41.288223, -73.792203
10601,41.032932, -73.765071
10603,41.054400, -73.779287
10604,41.071512, -73.747093
10605,41.010525, -73.745125
10606,41.020572, -73.775846
10607,41.039089, -73.811368
10701,40.945420, -73.880471
10703,40.959829, -73.880302
10704,40.919729, -73.862651
10705,40.919705, -73.889928
10706,40.989821, -73.867552
10707,40.960533, -73.822732
10708,40.938267, -73.829922
10709,40.954635, -73.808184
10710,40.967157, -73.846339
10801,40.917570, -73.784858
10803,40.900458, -73.807138
10804,40.946841, -73.788051
10805,40.897721, -73.779258
10901,41.140772, -74.104976
10910,41.281570, -74.137958
10911,41.319158, -74.008159
10913,41.068258, -73.954975
10914,41.417717, -74.200026
10915,41.545359, -74.359321
10916,41.442343, -74.250577
10917,41.319572, -74.117639
10918,41.344192, -74.262177
10919,41.525959, -74.387618
10920,41.156495, -73.938239
10921,41.332065, -74.363422
10922,41.332760, -73.996452
10923,41.203121, -74.002263
10924,41.381005, -74.352471
10925,41.198181, -74.314759
10926,41.301846, -74.119760
10927,41.191052, -73.967562
10928,41.348970, -73.998495
10930,41.366224, -74.121236
10931,41.148792, -74.162522
10932,41.482160, -74.464285
10933,41.368021, -74.512999
10940,41.446544, -74.478741
10941,41.487318, -74.344437
10950,41.317346, -74.199881
10952,41.111118, -74.078540
10953,41.404964, -74.077432
10954,41.098819, -74.013262
10956,41.157191, -73.993416
10958,41.371913, -74.432479
10960,41.092068, -73.924648
10962,41.050066, -73.958585
10963,41.463529, -74.543423
10964,41.016204, -73.914304
10965,41.061561, -74.007832
10968,41.037017, -73.921259
10969,41.294859, -74.488006
10970,41.180177, -74.102175
10973,41.380516, -74.480462
10974,41.168058, -74.178013
10975,41.267079, -74.172263
10976,41.022960, -73.928488
10977,41.118920, -74.048158
10979,41.182830, -74.314921
10980,41.238822, -74.050163
10983,41.031088, -73.947703
10984,41.202903, -74.022265
10985,41.583519, -74.373188
10986,41.285235, -73.998710
10987,41.186927, -74.237350
10988,41.302081, -74.548556
10989,41.122955, -73.938031
10990,41.267448, -74.364011
10992,41.426089, -74.164664
10993,41.209896, -73.973842
10994,41.098072, -73.972649
10996,41.393700, -73.972175
10998,41.324076, -74.541179
11001,40.723317, -73.704949
11003,40.699176, -73.706166
11004,40.746204, -73.711478
11005,40.756596, -73.714178
11010,40.700587, -73.675018
11020,40.771442, -73.714819
11021,40.784319, -73.731488
11023,40.798909, -73.733653
11024,40.816251, -73.742872
11030,40.793409, -73.688549
11040,40.745347, -73.680292
11042,40.758534, -73.697235
11050,40.839900, -73.693124
11096,40.621346, -73.756990
11101,40.747155, -73.939750
11102,40.772884, -73.926295
11103,40.762574, -73.913447
11104,40.744634, -73.920201
11105,40.778877, -73.906769
11106,40.762211, -73.931528
11109,40.745115, -73.956928
11201,40.693682, -73.989693
11203,40.649591, -73.934371
11204,40.618779, -73.984826
